"Date","Price"
21-11-2018,4.323
20-11-2018,4.353
17-11-2018,4.370
16-11-2018,4.378
15-11-2018,4.390
14-11-2018,4.403
10-11-2018,4.425
09-11-2018,4.435
08-11-2018,4.446
07-11-2018,4.445
06-11-2018,4.484
03-11-2018,4.507
01-11-2018,4.534
31-10-2018,4.518
30-10-2018,4.522
27-10-2018,4.511
26-10-2018,4.483
25-10-2018,4.453
24-10-2018,4.457
23-10-2018,4.467
20-10-2018,4.459
19-10-2018,4.448
18-10-2018,4.438
17-10-2018,4.455
16-10-2018,4.481
13-10-2018,4.512
12-10-2018,4.529
11-10-2018,4.559
10-10-2018,4.563
09-10-2018,4.553
06-10-2018,4.558
05-10-2018,4.552
04-10-2018,4.523
03-10-2018,4.504
02-10-2018,4.452
29-09-2018,4.430
28-09-2018,4.399
27-09-2018,4.397
26-09-2018,4.363
25-09-2018,4.340
22-09-2018,4.328
21-09-2018,4.335
20-09-2018,4.334
19-09-2018,4.336
18-09-2018,4.333
15-09-2018,4.350
14-09-2018,4.364
13-09-2018,4.369
12-09-2018,4.351
11-09-2018,4.348
08-09-2018,4.344
07-09-2018,4.365
06-09-2018,4.372
05-09-2018,4.373
04-09-2018,4.355
01-09-2018,4.336
31-08-2018,4.327
30-08-2018,4.320
29-08-2018,4.314
25-08-2018,4.303
24-08-2018,4.280
23-08-2018,4.269
22-08-2018,4.263
21-08-2018,4.265
18-08-2018,4.268
17-08-2018,4.266
15-08-2018,4.292
14-08-2018,4.270
11-08-2018,4.247
10-08-2018,4.230
09-08-2018,4.238
08-08-2018,4.251
07-08-2018,4.240
04-08-2018,4.230
03-08-2018,4.220
02-08-2018,4.229
01-08-2018,4.262
31-07-2018,4.270
28-07-2018,4.272
27-07-2018,4.263
26-07-2018,4.255
25-07-2018,4.246
24-07-2018,4.231
21-07-2018,4.209
20-07-2018,4.197
19-07-2018,4.178
18-07-2018,4.195
17-07-2018,4.215
14-07-2018,4.257
13-07-2018,4.261
12-07-2018,4.289
11-07-2018,4.302
10-07-2018,4.300
07-07-2018,4.310
06-07-2018,4.320
05-07-2018,4.319
04-07-2018,4.316
03-07-2018,4.321
30-06-2018,4.323
29-06-2018,4.287
28-06-2018,4.251
27-06-2018,4.223
26-06-2018,4.220
23-06-2018,4.229
22-06-2018,4.235
21-06-2018,4.239
20-06-2018,4.237
19-06-2018,4.233
16-06-2018,4.231
15-06-2018,4.245
14-06-2018,4.256
13-06-2018,4.250
12-06-2018,4.246
09-06-2018,4.243
08-06-2018,4.231
07-06-2018,4.240
06-06-2018,4.268
05-06-2018,4.316
02-06-2018,4.349
31-05-2018,4.364
30-05-2018,4.358
26-05-2018,4.362
25-05-2018,4.375
24-05-2018,4.367
23-05-2018,4.360
22-05-2018,4.354
19-05-2018,4.344
18-05-2018,4.325
17-05-2018,4.288
16-05-2018,4.271
15-05-2018,4.257
12-05-2018,4.249
11-05-2018,4.231
10-05-2018,4.208
09-05-2018,4.157
05-05-2018,4.138
03-05-2018,4.118
01-05-2018,4.118
28-04-2018,4.109
27-04-2018,4.096
26-04-2018,4.073
25-04-2018,4.045
24-04-2018,4.026
21-04-2018,4.008
20-04-2018,3.990
19-04-2018,3.982
18-04-2018,3.980
17-04-2018,3.996
16-04-2018,4.007
14-04-2018,4.016
13-04-2018,4.010
12-04-2018,3.990
11-04-2018,3.956
10-04-2018,3.941
07-04-2018,3.936
06-04-2018,3.941
05-04-2018,3.943
30-03-2018,3.946
29-03-2018,3.940
28-03-2018,3.940
27-03-2018,3.938
24-03-2018,3.924
23-03-2018,3.913
22-03-2018,3.896
21-03-2018,3.857
20-03-2018,3.838
17-03-2018,3.822
16-03-2018,3.811
15-03-2018,3.807
14-03-2018,3.805
13-03-2018,3.803
10-03-2018,3.805
09-03-2018,3.797
08-03-2018,3.799
07-03-2018,3.804
06-03-2018,3.796
03-03-2018,3.789
02-03-2018,3.813
01-03-2018,3.830
28-02-2018,3.837
27-02-2018,3.835
24-02-2018,3.813
23-02-2018,3.786
22-02-2018,3.766
21-02-2018,3.751
20-02-2018,3.728
17-02-2018,3.709
16-02-2018,3.698
15-02-2018,3.708
14-02-2018,3.716
13-02-2018,3.743
10-02-2018,3.759
09-02-2018,3.776
08-02-2018,3.797
07-02-2018,3.817
06-02-2018,3.833
03-02-2018,3.835
02-02-2018,3.833
01-02-2018,3.830
31-01-2018,3.843
30-01-2018,3.855
27-01-2018,3.864
26-01-2018,3.864
25-01-2018,3.865
24-01-2018,3.862
23-01-2018,3.859
20-01-2018,3.857
19-01-2018,3.869
18-01-2018,3.876
17-01-2018,3.884
16-01-2018,3.902
13-01-2018,3.912
12-01-2018,3.925
11-01-2018,3.919
10-01-2018,3.902
09-01-2018,3.895
06-01-2018,3.892
05-01-2018,3.894
04-01-2018,3.907
03-01-2018,3.900
01-01-2018,3.911
30-12-2017,3.920
29-12-2017,3.911
28-12-2017,3.895
23-12-2017,3.879
22-12-2017,3.879
21-12-2017,3.878
20-12-2017,3.873
19-12-2017,3.877
16-12-2017,3.873
15-12-2017,3.880
14-12-2017,3.883
13-12-2017,3.881
12-12-2017,3.861
09-12-2017,3.826
08-12-2017,3.816
07-12-2017,3.820
06-12-2017,3.837
05-12-2017,3.842
02-12-2017,3.850
01-12-2017,3.848
30-11-2017,3.852
29-11-2017,3.858
28-11-2017,3.860
25-11-2017,3.870
24-11-2017,3.873
23-11-2017,3.876
22-11-2017,3.874
21-11-2017,3.871
18-11-2017,3.880
17-11-2017,3.870
16-11-2017,3.879
15-11-2017,3.896
14-11-2017,3.917
11-11-2017,3.918
10-11-2017,3.906
09-11-2017,3.901
08-11-2017,3.886
07-11-2017,3.862
04-11-2017,3.849
03-11-2017,3.849
31-10-2017,3.835
28-10-2017,3.817
27-10-2017,3.721
26-10-2017,3.715
25-10-2017,3.707
24-10-2017,3.711
21-10-2017,3.716
20-10-2017,3.715
19-10-2017,3.724
18-10-2017,3.731
17-10-2017,3.718
14-10-2017,3.704
13-10-2017,3.698
12-10-2017,3.705
11-10-2017,3.718
10-10-2017,3.717
07-10-2017,3.727
06-10-2017,3.737
05-10-2017,3.726
04-10-2017,3.745
03-10-2017,3.768
30-09-2017,3.777
29-09-2017,3.775
28-09-2017,3.761
27-09-2017,3.739
26-09-2017,3.731
23-09-2017,3.713
22-09-2017,3.707
21-09-2017,3.695
20-09-2017,3.688
19-09-2017,3.689
16-09-2017,3.694
15-09-2017,3.673
14-09-2017,3.658
13-09-2017,3.648
12-09-2017,3.659
09-09-2017,3.668
08-09-2017,3.672
07-09-2017,3.657
06-09-2017,3.650
05-09-2017,3.633
02-09-2017,3.629
01-09-2017,3.594
31-08-2017,3.575
30-08-2017,3.567
26-08-2017,3.572
25-08-2017,3.573
24-08-2017,3.562
23-08-2017,3.555
22-08-2017,3.546
19-08-2017,3.545
18-08-2017,3.541
17-08-2017,3.560
15-08-2017,3.587
12-08-2017,3.590
11-08-2017,3.583
10-08-2017,3.571
09-08-2017,3.568
08-08-2017,3.569
05-08-2017,3.577
04-08-2017,3.583
03-08-2017,3.578
02-08-2017,3.578
01-08-2017,3.583
29-07-2017,3.569
28-07-2017,3.547
